"id","coin_id","symbol","name","price_usd","market_cap","volume_24h","timestamp"
111,aptos,apt,Aptos,4.89,3086342769,116641099,2025-06-04 16:00:11.074 +0300
112,render-token,render,Render,3.91,2023522150,101394393,2025-06-04 16:00:11.074 +0300
113,bitcoin,btc,Bitcoin,104989,2086519023093,26772445115,2025-06-04 22:22:29.825 +0300
114,ethereum,eth,Ethereum,2630.09,317507333607,16886722534,2025-06-04 22:22:29.825 +0300
115,tether,usdt,Tether,1.0,153773117379,45445787488,2025-06-04 22:22:29.825 +0300
116,binancecoin,bnb,BNB,667.96,97437291617,583181456,2025-06-04 22:22:29.825 +0300
117,solana,sol,Solana,155.67,81336869143,3087544654,2025-06-04 22:22:29.825 +0300
118,dogecoin,doge,Dogecoin,0.190654,28509700474,757145336,2025-06-04 22:22:29.825 +0300
119,tron,trx,TRON,0.273674,25958749651,470013640,2025-06-04 22:22:29.825 +0300
120,cardano,ada,Cardano,0.675167,24375047519,442374622,2025-06-04 22:22:29.825 +0300
121,chainlink,link,Chainlink,13.97,9173628286,248559034,2025-06-04 22:22:29.825 +0300
122,avalanche-2,avax,Avalanche,20.83,8782276072,315464845,2025-06-04 22:22:29.825 +0300
123,stellar,xlm,Stellar,0.268471,8370701110,152949471,2025-06-04 22:22:29.825 +0300
124,litecoin,ltc,Litecoin,89.27,6778393864,273947075,2025-06-04 22:22:29.825 +0300
125,polkadot,dot,Polkadot,4.06,6179480508,175996435,2025-06-04 22:22:29.825 +0300
126,uniswap,uni,Uniswap,6.37,3822530269,435057475,2025-06-04 22:22:29.825 +0300
127,aptos,apt,Aptos,4.89,3088283929,117462489,2025-06-04 22:22:29.825 +0300
128,render-token,render,Render,3.84,1989418548,90783228,2025-06-04 22:22:29.825 +0300
